Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0936672124273331,1.63489888294066E-10,0.535231939309104,0,0,0,279.343309739745,34.9281247022782,-8.13293011493347E-09,-2.07006228380223,35.7141019454583,-2.13551764559151E-09,12.2415875307062,0,0,0,0,0,0,package://HandAssembly2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/base_link.STL,,HandBase-1;FingerAssembly-2/FingerBase-1;FingerAssembly-3/FingerBase-1;FingerAssembly-1/FingerBase-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger_1,0.0582113837489129,4.16223523425074E-08,0.0400000490502332,0,0,0,2.62291219261925,0.00599150094431563,2.04568885529465E-08,1.56227476550037E-08,0.0153590426966864,-1.69856752757802E-07,0.0188065552886401,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1.STL,,FingerAssembly-3/FingerArm1-1,Coordinate System2,Axis7,fin1,revolute,0.308639953146409,0.175,1.22256279986678,3.14159265358979,-0.582486579623969,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_1_1,0.0912178205801498,0.0600876616121566,5.31188101282609E-08,0,0,0,2.39970051632588,0.00825497807923866,-0.00491198632784708,3.89380816170649E-08,0.0124760376603049,2.83949164129252E-08,0.0126583434717946,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1_1.STL,,FingerAssembly-3/FingerArm2-1,Coordinate System3,Axis8,fin1_1,revolute,0.179528059776071,0,0.0399996964134806,-1.5707963267949,-0.582486579623969,0,finger_1,-4.99498279141106E-05,-3.29033596607708E-05,-0.999999998211192,0,0,0,2,,,,,,,,
finger_1_1_1,0.0527784328799715,0.0347666892791179,-4.97915925157244E-09,0,0,0,1.21959091463891,0.00266721626156747,0.0001999689611466,8.56502520871384E-10,0.00249537578748383,5.75549595692808E-10,0.00235597916354427,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1_1_1.STL,,FingerAssembly-3/EndEffector-1,Coordinate System4,Axis9,fin1_1_1,revolute,0.204435726444991,0.134667212398081,0,0,0,0,finger_1_1,4.99498279133785E-05,3.29033596622835E-05,0.999999998211192,0,0,0,2,,,,,,,,
finger_1_eef,0.0188171286265765,-4.97915925157244E-09,-0.0123954210124275,0,0,0,1.21959091463891,0.00266721626156747,8.56502520840658E-10,-0.0001999689611466,0.00235597916354427,-5.75549595673798E-10,0.00249537578748383,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1_eef.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1_eef.STL,,FingerAssembly-3/EndEffector-1,Coordinate System13,Axis9,fin1_eef,fixed,0.0339613042533951,0.0223712682666903,0,1.5707963267949,0,0,finger_1_1_1,0,0,0,,,,,,,,,,,,
finger_2,0.0582113997401505,7.2059313627193E-08,0.0399998347308492,0,0,0,2.62291216939469,0.0059916892852438,2.54236843542384E-08,-6.34236507668275E-08,0.0153587785697811,-1.788387632831E-07,0.0188064904153421,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2.STL,,FingerAssembly-2/FingerArm1-1,Coordinate System5,Axis4,fin2,revolute,0.382548654972508,0,0.780508398722002,3.14159265358979,0.436413643527903,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_2_1,0.0989920974591484,-0.0461705253229426,2.04530046454821E-07,0,0,0,2.39969352647452,0.00692962504514686,0.00409591270353601,-1.42185073855786E-09,0.0138012038593891,2.47784668845037E-09,0.012658197491362,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2_1.STL,,FingerAssembly-2/FingerArm2-1,Coordinate System6,Axis5,fin2_1,revolute,0.179528059776071,0,0.0399996964134798,-1.5707963267949,0.436413643527903,0,finger_2,0,0,-1,0,0,0,2,,,,,,,,
finger_2_1_1,0.0572767994330114,-0.0267141823562029,-5.92834292767463E-09,0,0,0,1.21958916107902,0.00272116821091193,-0.000166746141068283,9.19142199931018E-10,0.00244142078028996,-4.11542290661205E-10,0.00235597934140297,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2_1_1.STL,,FingerAssembly-2/EndEffector-1,Coordinate System7,Axis6,fin2_1_1,revolute,0.221859646346035,-0.103477155282569,0,0,0,0,finger_2_1,0,0,1,0,0,0,2,,,,,,,,
finger_2_eef,0.0204209447278962,-5.92834292767463E-09,0.00952436547505686,0,0,0,1.21958916107902,0.00272116821091193,9.19142199913752E-10,0.000166746141068283,0.00235597934140297,4.11542290652494E-10,0.00244142078028996,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2_eef.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2_eef.STL,,FingerAssembly-2/EndEffector-1,Coordinate System12,Axis6,fin2_eef,fixed,0.0368558547051152,-0.0171898168811461,0,1.5707963267949,0,0,finger_2_1_1,0,0,0,,,,,,,,,,,,
finger_3,0.0582113837489122,4.16223523425074E-08,0.0400000490502328,0,0,0,2.62291219261925,0.00599150094431563,2.04568885804952E-08,1.56227476632437E-08,0.0153590426966865,-1.69856752748938E-07,0.0188065552886401,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_3.STL,,FingerAssembly-1/FingerArm1-1,Coordinate System8,Axis1,fin3,revolute,0.308639953146409,-0.175,1.22256279986678,3.14159265358979,-0.58248657962397,0,base_link,0,0,1,0,0,0,2,,,,,,,,
