Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.094976,-0.00010441,0.45198,0,0,0,223.78,23.889,0.019211,-2.3797,24.261,0.044517,9.898,0,0,0,0,0,0,package://HandAssembly6/meshes/base_link.STL,0.18824,0.20392,1,1,0,0,0,0,0,0,package://HandAssembly6/meshes/base_link.STL,,FingerAssembly-2/FingerBase-1;FingerAssembly-3/FingerBase-1;FingerAssembly-1/FingerBase-1;HandBase-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger_1,0.058211,3.7694E-08,8.7344E-08,0,0,0,2.6229,0.0059915,2.2318E-08,1.352E-08,0.015359,-1.6951E-07,0.018807,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_1.STL,0.18824,0.20392,1,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_1.STL,,FingerAssembly-3/FingerArm1-1,Coordinate System2,Axis7,fin1,revolute,0.292117822710978,0.175,1.14406683612052,-3.14159265358979,-0.434081521732677,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_1_1,0.10923,-1.0806E-07,1.3848E-07,0,0,0,2.3997,0.0050193,-1.8058E-08,2.3784E-08,0.015712,1.6636E-09,0.012658,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_1_1.STL,0.18824,0.20392,1,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_1_1.STL,,FingerAssembly-3/FingerArm2-1,Coordinate System3,Axis8,fin1_1,revolute,0.179528059776071,0,0,-1.5707963267949,0,0,finger_1,-5.91557224570015E-05,0,-0.999999998211192,0,0,0,2,,,,,,,,
finger_1_1_1,0.18047,-4.3488E-08,4.2365E-08,0,0,0,1.9243,0.0035222,1.5303E-08,2.346E-08,0.012219,-6.3148E-10,0.011737,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_1_1_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_1_1_1.STL,,FingerAssembly-3/EndEffector-1,Coordinate System4,Axis9,fin1_1_1,revolute,0.235471940223928,0,0,0,0,0,finger_1_1,5.91557224571689E-05,0,0.999999998211192,0,0,0,2,,,,,,,,
finger_1_eef,-0.024535,4.2365E-08,4.3488E-08,0,0,0,1.9243,0.0035222,2.346E-08,-1.5303E-08,0.011737,6.3148E-10,0.012219,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_1_eef.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_1_eef.STL,,FingerAssembly-3/EndEffector-1,Coordinate System13,Axis9,fin1_eef,fixed,0.205,0,0,1.5707963267949,0,0,finger_1_1_1,0,0,0,,,,,,,,,,,,
finger_2,0.0582116120903943,1.1196454030582E-07,-3.91548026223987E-07,0,0,0,2.62290642499631,0.00599168807900473,3.82927900034568E-08,-4.28218440578793E-08,0.0153587683117723,-1.2968428926512E-07,0.0188064358562405,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_2.STL,0.188235294117647,0.203921568627451,1,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_2.STL,,FingerAssembly-2/FingerArm1-1,Coordinate System5,Axis4,fin2,revolute,0.338191099465507,0,0.774632196937085,3.14159265358979,0.194237175479863,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_2_1,0.109229805441415,8.50570720523081E-08,2.00951759232737E-07,0,0,0,2.39969323925603,0.00501927998896574,-3.99391432398641E-08,-1.26910142059085E-09,0.0157115471317898,1.62489800577717E-09,0.0126581971858757,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_2_1.STL,0.188235294117647,0.203921568627451,1,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_2_1.STL,,FingerAssembly-2/FingerArm2-1,Coordinate System6,Axis5,fin2_1,revolute,0.17952805977607,0,0,-1.5707963267949,0,0,finger_2,0,0,-1,0,0,0,2,,,,,,,,
finger_2_1_1,0.18046559586156,3.01820902159911E-07,-9.74496705552497E-10,0,0,0,1.92424517665912,0.00352219633863109,6.17228919618787E-09,6.36595524246414E-09,0.012218947408732,2.78510533320615E-10,0.0117363268700237,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_2_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_2_1_1.STL,,FingerAssembly-2/EndEffector-1,Coordinate System7,Axis6,fin2_1_1,revolute,0.235471940223929,0,0,0,0,0,finger_2_1,0,0,1,0,0,0,2,,,,,,,,
finger_2_eef,-0.0245344041384399,-9.74496816574799E-10,-3.01820901937866E-07,0,0,0,1.92424517665912,0.00352219633863109,6.36595524170338E-09,-6.17228919255579E-09,0.0117363268700237,-2.78510533360611E-10,0.012218947408732,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_2_eef.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_2_eef.STL,,FingerAssembly-2/EndEffector-1,Coordinate System12,Axis6,fin2_eef,fixed,0.205,0,0,1.5707963267949,0,0,finger_2_1_1,0,0,0,,,,,,,,,,,,
finger_3,0.0582114002766054,3.76936419854701E-08,8.73444794269318E-08,0,0,0,2.62291217240701,0.00599150167552188,2.23180712202809E-08,1.35200392914567E-08,0.0153590445392389,-1.69514000177054E-07,0.0188065584655924,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_3.STL,0.188235294117647,0.203921568627451,1,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_3.STL,,FingerAssembly-1/FingerArm1-1,Coordinate System8,Axis1,fin3,revolute,0.292117822710978,-0.175,1.14406683612052,3.14159265358979,-0.434081521732677,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_3_1,0.109229982235747,-1.08060116854602E-07,1.38476775046747E-07,0,0,0,2.39969794559851,0.00501929273463679,-1.80584907152675E-08,2.37836989137933E-08,0.0157116821542711,1.6635881570034E-09,0.012658314678475,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_3_1.STL,0.188235294117647,0.203921568627451,1,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_3_1.STL,,FingerAssembly-1/FingerArm2-1,Coordinate System9,Axis2,fin3_1,revolute,0.179528059776072,0,0,-1.5707963267949,0,0,finger_3,0,0,-1,0,0,0,2,,,,,,,,
finger_3_1_1,0.180465436095978,-4.34883247191209E-08,4.23646131508804E-08,0,0,0,1.92425574932129,0.0035222146228016,1.5302543260971E-08,2.34602653389936E-08,0.0122191473111296,-6.31477479214729E-10,0.0117365284602967,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_3_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_3_1_1.STL,,FingerAssembly-1/EndEffector-1,Coordinate System10,Axis3,fin3_1_1,revolute,0.235471940223929,0,0,0,0,0,finger_3_1,0,0,-1,0,0,0,2,,,,,,,,
finger_3_eef,-0.024534563904022,4.23646131508804E-08,4.34883248301432E-08,0,0,0,1.92425574932129,0.0035222146228016,2.34602653383423E-08,-1.53025432579352E-08,0.0117365284602967,6.31477479162416E-10,0.0122191473111296,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_3_eef.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly6/meshes/finger_3_eef.STL,,FingerAssembly-1/EndEffector-1,Coordinate System11,Axis3,fin3_eef,fixed,0.205,0,0,1.5707963267949,0,0,finger_3_1_1,0,0,0,,,,,,,,,,,,
e3,-0.21779,0.0016783,0.79089,0,0,0,1.3922,0.02181,-9.7186E-05,-0.0073065,0.017106,-0.00017247,0.012962,0,0,0,0,0,0,package://HandAssembly6/meshes/e3.STL,1,1,0,1,0,0,0,0,0,0,package://HandAssembly6/meshes/e3.STL,,E3-1,Coordinate System1,,e_3,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
