Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.093667,-1.6349E-10,-0.53523,0,0,0,279.34,34.928,8.1329E-09,2.0701,35.714,-2.1355E-09,12.242,0,0,0,0,0,0,package://HandAssembly/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly/meshes/base_link.STL,,HandBase-1;FingerAssembly-2/FingerBase-1;FingerAssembly-3/FingerBase-1;FingerAssembly-1/FingerBase-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger_1,0.057895,0.0060615,0.04,0,0,0,2.6229,0.0060931,-0.00097012,3.6127E-08,0.015257,-1.6814E-07,0.018807,0,0,0,0,0,0,package://HandAssembly/meshes/finger_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly/meshes/finger_1.STL,,FingerAssembly-3/FingerArm1-1,Coordinate System2,Axis7,fin1,revolute,0.30864,-0.175,-1.2226,0,0.58249,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_1_1,0.083387,-0.070553,1.3914E-07,0,0,0,2.3997,0.0094802,0.0052724,1.8644E-08,0.011251,-1.3922E-08,0.012658,0,0,0,0,0,0,package://HandAssembly/meshes/finger_1_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly/meshes/finger_1_1.STL,,FingerAssembly-3/FingerArm2-1,Coordinate System3,Axis8,fin1_1,revolute,0.18245,0.019102,0.034754,-1.5708,-0.57999,0.10432,finger_1,0,0,-1,0,0,0,2,,,,,,,,
finger_1_1_1,-0.004652,-0.062776,7.675E-09,0,0,0,0.67086,0.0012103,-4.6906E-05,-1.9006E-11,0.00058076,-6.0201E-10,0.0012061,0,0,0,0,0,0,package://HandAssembly/meshes/finger_1_1_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly/meshes/finger_1_1_1.STL,,FingerAssembly-3/EndEffector-1,Coordinate System4,Axis9,fin1_1_1,revolute,0.17907,-0.1614,0,0,0,0,finger_1_1,0,0,1,0,0,0,2,,,,,,,,
finger_2,0.058184,0.0017727,0.04,0,0,0,2.6229,0.0060004,-0.00028507,-6.0758E-08,0.01535,-1.8252E-07,0.018806,0,0,0,0,0,0,package://HandAssembly/meshes/finger_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly/meshes/finger_2.STL,,FingerAssembly-2/FingerArm1-1,Coordinate System5,Axis4,fin2,revolute,0.38255,0,-0.78051,0,-0.43641,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_2_1,0.09843,0.047359,1.136E-07,0,0,0,2.3997,0.0070293,-0.0041775,2.1588E-08,0.013702,1.1704E-08,0.012658,0,0,0,0,0,0,package://HandAssembly/meshes/finger_2_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly/meshes/finger_2_1.STL,,FingerAssembly-2/FingerArm2-1,Coordinate System6,Axis5,fin2_1,revolute,0.18145,0.0055277,0.044234,-1.5708,0.43624,0.030455,finger_2,0,0,-1,0,0,0,2,,,,,,,,
finger_2_1_1,-0.010621,0.062046,8.2758E-09,0,0,0,0.67086,0.0011956,0.00010585,4.975E-11,0.00059541,-3.6033E-10,0.0012061,0,0,0,0,0,0,package://HandAssembly/meshes/finger_2_1_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly/meshes/finger_2_1_1.STL,,FingerAssembly-2/EndEffector-1,Coordinate System7,Axis6,fin2_1_1,revolute,0.21061,0.11129,0,0,0,0,finger_2_1,0,0,1,0,0,0,2,,,,,,,,
finger_3,0.058211,0.00023091,0.04,0,0,0,2.6229,0.0059916,-3.7129E-05,1.5749E-08,0.015359,-1.6961E-07,0.018807,0,0,0,0,0,0,package://HandAssembly/meshes/finger_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly/meshes/finger_3.STL,,FingerAssembly-1/FingerArm1-1,Coordinate System8,Axis1,fin3,revolute,0.30864,0.175,-1.2226,0,0.58249,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_3_1,0.081768,-0.072423,1.9716E-07,0,0,0,2.3997,0.0097197,0.005307,1.3311E-09,0.011011,1.5547E-09,0.012658,0,0,0,0,0,0,package://HandAssembly/meshes/finger_3_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly/meshes/finger_3_1.STL,,FingerAssembly-1/FingerArm2-1,Coordinate System9,Axis2,fin3_1,revolute,0.18357,0.000728,0.034717,-1.5708,-0.58248,0.0039657,finger_3,0,0,-1,0,0,0,2,,,,,,,,
finger_3_1_1,0.00039413,-0.062947,8.8667E-09,0,0,0,0.67086,0.0012137,3.985E-06,-1.256E-12,0.00057731,3.9831E-10,0.0012061,0,0,0,0,0,0,package://HandAssembly/meshes/finger_3_1_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://HandAssembly/meshes/finger_3_1_1.STL,,FingerAssembly-1/EndEffector-1,Coordinate System10,Axis3,fin3_1_1,revolute,0.17633,-0.16546,0,0,0,0,finger_3_1,0,0,-1,0,0,0,2,,,,,,,,
