Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0936672124273331,1.63489999316369E-10,0.535231939309104,0,0,0,279.343309739745,34.9281247022782,-8.13293010261419E-09,-2.07006228380223,35.7141019454583,-2.13551762593278E-09,12.2415875307062,0,0,0,0,0,0,package://HandAssembly2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/base_link.STL,,HandBase-1;FingerAssembly-2/FingerBase-1;FingerAssembly-3/FingerBase-1;FingerAssembly-1/FingerBase-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger_1,0.0582113836736708,-3.44043969141561E-06,0.0400000490133948,0,0,0,2.6229121926556,0.00599150098132531,5.80774439257149E-07,1.56203462946432E-08,0.0153590426624098,-1.69860489282124E-07,0.0188065552953476,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1.STL,,FingerAssembly-3/FingerArm1-1,Coordinate System2,Axis7,fin1,revolute,0.30864,0.175,1.2226,3.1416,-0.58249,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_1_1,0.0947429860836916,0.0543603118723592,1.13233871890106E-07,0,0,0,2.39970738830488,0.0076675328051772,-0.00461551646509514,2.00131415440553E-08,0.0130634956772324,1.29972875113723E-08,0.0126583730986514,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1_1.STL,,FingerAssembly-3/FingerArm2-1,Coordinate System3,Axis8,fin1_1,revolute,0.179538449644514,-1.07387640339573E-05,0.0396629523318704,-1.5707963267949,-0.582486578802211,-5.9813179065596E-05,finger_1,0,0,-1,0,0,0,2,,,,,,,,
finger_1_1_1,0.0528495757785843,0.0341964919671829,8.21324946942426E-09,0,0,0,0.67086342261683,0.000765115111686015,-0.000290281022830496,3.19374936416653E-10,0.00102590761695207,2.22207209578209E-10,0.00120606464694258,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_1_1_1.STL,,FingerAssembly-3/EndEffector-1,Coordinate System4,Axis9,fin1_1_1,revolute,0.212076291309529,0.122256317843988,0,0,0,0,finger_1_1,0,0,1,0,0,0,2,,,,,,,,
finger_2,0.0582108729521002,0.000247979231724593,0.0399998369870127,0,0,0,2.62291216260929,0.00599185912563818,-3.98633658365707E-05,-6.3272691918758E-08,0.0153586088628602,-1.79499154995633E-07,0.018806490853265,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2.STL,,FingerAssembly-2/FingerArm1-1,Coordinate System5,Axis4,fin2,revolute,0.38255,0,0.78051,3.1416,0.43641,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_2_1,0.0990166591529629,-0.0461184210388278,5.81050302317365E-08,0,0,0,2.39969803744161,0.00692534578363285,0.00409233281180404,4.35343580124497E-08,0.0138056413390875,-1.79031875500785E-08,0.0126583189931783,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2_1.STL,,FingerAssembly-2/FingerArm2-1,Coordinate System6,Axis5,fin2_1,revolute,0.179526432571969,0.000764504714627967,0.0400025631184961,-1.5707963267949,0.436410170153714,0.00425842636341441,finger_2,0,0,-1,0,0,0,2,,,,,,,,
finger_2_1_1,0.0555512334288544,-0.0296070826239864,3.573082993924E-07,0,0,0,0.670866844724945,0.000718080712671058,0.000264167323688377,4.0155580199817E-10,0.00107294169250966,-9.52457870579495E-11,0.0012060641373819,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_2_1_1.STL,,FingerAssembly-2/EndEffector-1,Coordinate System7,Axis6,fin2_1_1,revolute,0.221690121359748,-0.103809243324189,0,0,0,0,finger_2_1,0,0,1,0,0,0,2,,,,,,,,
finger_3,0.0582078040881369,-0.000645975418494538,0.0400000422435833,0,0,0,2.62291219958027,0.00599265962210566,0.000103958216930548,-6.19943141006579E-09,0.015357890537096,-2.21642204466408E-07,0.0188066005427936,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_3.STL,,FingerAssembly-1/FingerArm1-1,Coordinate System8,Axis1,fin3,revolute,0.308639953146715,-0.175000000000232,1.2225627998667,3.14159265358979,-0.58248657962397,0,base_link,0,0,1,0,0,0,2,,,,,,,,
finger_3_1,0.0949423907897378,0.0540098031361804,2.74759229146326E-07,0,0,0,2.3996917545326,0.00763346051353469,-0.00459538282293504,-2.06759840093756E-08,0.0130973260097602,-1.00559816598103E-08,0.0126581667785386,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_3_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_3_1.STL,,FingerAssembly-1/FingerArm2-1,Coordinate System9,Axis2,fin3_1,revolute,0.179528666620996,-0.00199234467872766,0.0396429453369453,-1.5707963267949,-0.582458293086268,-0.0110971853921247,finger_3,0,0,-1,0,0,0,2,,,,,,,,
finger_3_1_1,0.0536933464398941,0.0328557852204987,7.86275311526197E-09,0,0,0,0.670863404845149,0.000750675852080777,-0.00028335298864535,2.9238503049449E-10,0.00104034676227501,1.98043304970411E-10,0.00120606455043466,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_3_1_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://HandAssembly2/meshes/finger_3_1_1.STL,,FingerAssembly-1/EndEffector-1,Coordinate System10,Axis3,fin3_1_1,revolute,0.212632639805716,0.121302703469605,0,0,0,0,finger_3_1,0,0,-1,0,0,0,2,,,,,,,,
